name                                description
ensembl_gene_id                     Ensembl Gene ID
ensembl_transcript_id               Ensembl Transcript ID
ensembl_peptide_id                  Ensembl Protein ID
ensembl_exon_id                     Ensembl Exon ID
description                         Description
chromosome_name                     Chromosome Name
start_position                      Gene Start (bp)
end_position                        Gene End (bp)
strand                              Strand
band                                Band
transcript_start                    Transcript Start (bp)
transcript_end                      Transcript End (bp)
external_gene_id                    Associated Gene Name
external_transcript_id              Associated Transcript Name
external_gene_db                    Associated Gene DB
transcript_db_name                  Associated Transcript DB
transcript_count                    Transcript count
percentage_gc_content               % GC content
gene_biotype                        Gene Biotype
transcript_biotype                  Transcript Biotype
source                              Source
status                              Status (gene)
transcript_status                   Status (transcript)
go_id                               GO Term Accession
name_1006                           GO Term Name
definition_1006                     GO Term Definition
go_linkage_type                     GO Term Evidence Code
namespace_1003                      GO domain
goslim_goa_accession                GOSlim GOA Accession(s)
goslim_goa_description              GOSlim GOA Description
arrayexpress                        ArrayExpress
clone_based_ensembl_gene_name       Clone based Ensembl gene name
clone_based_ensembl_transcript_name Clone based Ensembl transcript name
clone_based_vega_gene_name          Clone based VEGA gene name
clone_based_vega_transcript_name    Clone based VEGA transcript name
ccds                                CCDS ID
dbass3_id                           Database of Aberrant 3' Splice Sites (DBASS3) IDs
dbass3_name                         DBASS3 Gene Name
embl                                EMBL (Genbank) ID
ens_hs_gene                         Ensembl to LRG link gene IDs
ens_hs_transcript                   Ensembl to LRG link transcript IDs
ens_hs_translation                  Ensembl to LRG link translation IDs
ens_lrg_gene                        LRG to Ensembl link gene
ens_lrg_transcript                  LRG to Ensembl link transcript
entrezgene                          EntrezGene ID
hpa                                 Human Protein Atlas Antibody ID
ottt                                VEGA transcript ID(s) (OTTT)
ottg                                VEGA gene ID(s) (OTTG)
shares_cds_with_ottt                HAVANA transcript (where ENST shares CDS with OTTT)
shares_cds_and_utr_with_ottt        HAVANA transcript (where ENST identical to OTTT)
hgnc_id                             HGNC ID(s)
hgnc_symbol                         HGNC symbol
hgnc_transcript_name                HGNC transcript name
merops                              MEROPS ID
pdb                                 PDB ID
mim_morbid_accession                MIM Morbid Accession
mim_morbid_description              MIM Morbid Description
mim_gene_accession                  MIM Gene Accession
mim_gene_description                MIM Gene Description
mirbase_accession                   miRBase Accession(s)
mirbase_id                          miRBase ID(s)
mirbase_transcript_name             miRBase transcript name
orphanet_id                         Orphanet ID(s)
protein_id                          Protein (Genbank) ID
refseq_mrna                         RefSeq mRNA [e.g. NM_001195597]
refseq_mrna_predicted               RefSeq mRNA predicted [e.g. XM_001125684]
refseq_ncrna                        RefSeq ncRNA [e.g. NR_002834]
refseq_ncrna_predicted              RefSeq ncRNA predicted [e.g. XR_108264]
refseq_peptide                      RefSeq Protein ID [e.g. NP_001005353]
refseq_peptide_predicted            RefSeq Predicted Protein ID [e.g. XP_001720922]
rfam                                Rfam ID
rfam_transcript_name                Rfam transcript name
ucsc                                UCSC ID
unigene                             Unigene ID
uniprot_sptrembl                    UniProt/TrEMBL Accession
uniprot_swissprot                   UniProt/SwissProt ID
uniprot_swissprot_accession         UniProt/SwissProt Accession
uniprot_genename                    UniProt Gene Name
uniprot_genename_transcript_name    Uniprot Genename Transcript Name
uniparc                             UniParc
wikigene_name                       WikiGene Name
wikigene_id                         WikiGene ID
wikigene_description                WikiGene Description
efg_agilent_sureprint_g3_ge_8x60k   Agilent SurePrint G3 GE 8x60k probe
efg_agilent_wholegenome_4x44k_v1    Agilent WholeGenome 4x44k v1 probe
efg_agilent_wholegenome_4x44k_v2    Agilent WholeGenome 4x44k v2 probe
affy_hc_g110                        Affy HC G110 probeset
affy_hg_focus                       Affy HG FOCUS probeset
